1MC,general announcing system
SJFHQ-E,standing joint force headquarters – elimination
SJOA,space joint operating area
SJS,"Secretary, Joint Staff"
SLA,special leave accrual
SLBM,submarine-launched ballistic missile
SLCM,sea-launched cruise missile
SLCP,ship lighterage control point, ship’s loading characteristics pamphlet
SLO,space liaison officer
SLOC,sea line of communications
SLRP,"survey, liaison, and reconnaissance party"
SLS,shoot-look-shoot
SLWT,side loadable warping tug
SM,spectrum management, standard missile
SMB,spectrum management branch
SMC,search and rescue mission coordinator
SMCA,single manager for conventional ammunition
SMCM,surface mine countermeasures
SME,subject matter expert
SMO,senior meteorological and oceanographic officer, strategic mobility office(r)
SMRC,Specialized Medical Response Capabilities
SMS,Single Mobility System
SMU,special mission unit
SMWDC,Surface and Mine Warfighting Development Center
SN,serial number
SNA,social network analysis
SNCO,staff noncommissioned officer
SNF,strategic nuclear forces
SO-ATP,special operations-advanced tactical practitioner
SOA,special operations aviation (USA), sustained operations ashore
SOAGS,special operations air-ground system
SOC,special operations commander
SOC-FWD,special operations command-forward
SOCCE,special operations command and control element
SOCCET,special operations critical care evacuation team
SOCM,special operations combat medic
SOCNORTH,"United States Special Operations Command, North"
SOCPAC,Special Operations Command Pacific
SOD,special operations division
SOE,special operations executive
SOF,special operations forces
SOF-CF,special operations forces-conventional forces
SOFA,status-of-forces agreement
SOFLE,special operations forces liaison element
SOG,special operations group
SOI,signal operating instructions
SOIC,senior officer of the intelligence community
SOJTF,special operations joint task force
SOLE,special operations liaison element
SOLO,special operations liaison officer
SOM,structured observation management
SOMA,status-of-mission agreement
SOMARDS,Standard Operation and Maintenance Army Research and Development SystemSOMARDS NTStandard Operation and Maintenance Army Research and Development System Non-Technical
SOP,standard operating procedure
SORTIEALOT,sortie allotment message
SORTS,Status of Resources and Training System
SOSB,special operations support battalion
SOST,special operations support team
SOTA,signals intelligence operational tasking authority
SOTF,special operations task force
SOW, statement of work,special operations wing, standoff weapon
SP,security police
SPE,senior procurement executive
SPECAT,special category
SPG,Strategic Planning Guidance
SPI,sensor point of interest, special investigative (USAF)
SPINS,special instructions
SPM,service postal manager, single port manager
SPMAGTF,special purpose Marine air-ground task force
SPOD,seaport of debarkation
SPOE,seaport of embarkation
SPOT,Synchronized Predeployment and Operational Tracker
SPOTREP,spot report
SPP, State Partnership Program,Security and Prosperity Partnership of North America
SR,special reconnaissance
SRBM,short-range ballistic missile
SRG,Seabee readiness group
SRM,"sustainment, restoration, and modernization"
SROE,standing rules of engagement
SRR,search and rescue region
SRSG,special representative of the Secretary-General
SRUF,standing rules for the use of force
SS,steamship
SSA,,security sector assistance, software support activity, space situational awareness, special support activity (NSA)
SSB,single side band
SSBN,ballistic missile submarine (nuclear-powered)
SSC, special security center,small scale contingency
SSCO,shipper’s service control office
SSE,space support element
SSI,standing signal instruction
SSM,surface-to-surface missile
SSN,Social Security number
SSO,special security office(r)
SSPM,single-service postal manager
SSR,security sector reform
SSS,Selective Service System
SST,special support team (National Security Agency)
SSTR,"stability, security, transition, and reconstruction"
SSWG,space support working group
ST, strike team,short ton
STANAG,standardization agreement (NATO)
STAR,sensitive target approval and review
STARS,Standard Accounting and Reporting System
START,Strategic Arms Reduction Treaty
STEP,standardized tactical entry point
STO,special technical operations
STON,short ton
STS,special tactics squadron
STT,special tactics team
STU,secure telephone unit
STW,strike warfare
STWC,strike warfare commander
SUBOPAUTH,submarine operating authority
SUC,situation update code
SUPP,supplement
SUPPO,supply officer
SUROBS,surf observationSUST BDEsustainment brigade
SUW,surface warfare
SUWC,surface warfare commander
SVC,stored value card
SW,shallow water
SWO,staff weather officer
SWPC,Space Weather Prediction Center
SXXI,SPECTRUM XXI
SXXI-O,SPECTRUM XXI-Online
SYG,Secretary-General (UN)
SYSCOM,systems command
SZ,surf zone
Seabee,Navy construction engineer
SecDef,Secretary of Defense
T&E,test and evaluation
T-ACS,auxiliary crane ship
T-AH,hospital ship
T-AKR,fast logistics ship
T-AVB,aviation logistics support ship
T-JTB,theater-joint transportation board
T/M/S,"type, model, and/or series"
T2,technology transfer
TA, threat assessment,target acquisition, target audience, technical arrangement, theater Army
TAA,tactical assembly area, target audience analysis
TAACOM,theater Army area command
TAAMDCOORD,theater Army air and missile defense coordinator
TAC,terminal attack control
TAC(A),tactical air coordinator (airborne)
TAC-D,tactical deception
TACAIR,tactical air
TACAN,tactical air navigation
TACC,tanker airlift control center
TACLOG,tactical-logistical
TACO,theater allied contracting office
TACON,tactical control
TACOPDAT,tactical operational data
TACP,tactical air control party
TACRON,tactical air control squadron
TACS,tactical air control system, theater air control system
TACSAT,tactical satellite
TACT,tactical aviation control team
TAD,tactical air direction, temporary additional duty (non-unit- related personnel), theater air defense
TADC,tactical air direction center
TAF,tactical air force
TAFT,technical assistance field team
TAG, the adjutant general,technical assistance group
TAGS,theater air-ground system
TAI,target area of interest
TAIS,Tactical Airspace Integration System
TAMP,Transitional Assistance Management Program
TAO,tactical air officer
TAOC,tactical air operations center (USMC)
TAR,tactical air request
TARWI,target weather and intelligence
TASKORD,tasking order
TASWC,theater antisubmarine warfare commander
TAT,tactical analysis team, technical assistance team
TATC,tactical air traffic control
TB(X),transportation brigade (expeditionary)
TBC,theater business clearance
TBM,theater ballistic missile
TBMCS,theater battle management core system
TBMD,theater ballistic missile defenseTB MEDtechnical bulletin medical
TC,training circular
TCA,traditional combatant commander activityTC-AIMS IITransportation Coordinator’s Automated Information for Movement System II
TCC,transportation component command, troop contributing country
TCCC,tactical combat casualty care
TCCET,tactical critical care evacuation team
TCCT,tactical critical care transport
TCEM,theater contingency engineering management
TCF,tactical combat force
TCM,theater construction manager, theater container manager
TCMD,transportation control and movement document
TCN, transportation control number,third-country national
TCO,termination contracting officer, transnational criminal organization
TCPED,"tasking, collection, processing, exploitation, and dissemination"
TCS,theater communications system
TCSG,"United States Transportation Command, Office of the Command Surgeon"
TCSP,theater consolidation and shipping point
TD, tie down,theater distribution
TDC,target development cell
TDCP,theater distribution campaign plan
TDD,time-definite delivery
TDF,theater detention facility
TDL,tactical data link
TDN,tactical data network, target development nomination
TDP,theater distribution plan
TDR,transportation discrepancy report
TDRC,theater detainee reporting center
TDY,temporary duty
TEA,Transportation Engineering Agency
TEC,theater engineer command
TECHCON,technical control
TECHELINT,technical electronic intelligence
TECHINT,technical intelligence
TEDAC,Terrorist Explosive Device Analytical Center (FBI)
TEL,transporter-erector-launcher
TEMPER,tent extendible modular personnel
TENCAP,tactical exploitation of national capabilities program
TEO,team embarkation officer
TEP,theater engagement plan
TERCOM,terrain contour matching
TET,targeting effects team
TETK,TeleEngineering Toolkit
TEU,technical escort unit, twenty-foot equivalent unit
TEWLS,Theater Enterprise Wide Logistics System
TF,task force
TFC,threat finance cell
TFCICA,task force counterintelligence coordinating authority
TFE,tactical field exchange, threat finance exploitation
TFF,total force fitness
TFI,threat finance intelligence
TFMS-M,Transportation Financial Management System-Military
TG, technical guide,task group
TGM,terminally guided munitions
TGO,terminal guidance operations
THAAD,Terminal High Altitude Area Defense
THOC,theater head of contracting
THT,tactical human intelligence team
THX,theater express
TI,threat identification
TIA,theater intelligence assessment
TIB,theater intelligence brigade, toxic industrial biological
TIC,target information center, toxic industrial chemical
TIDE,Terrorist Identities Datamart Environment
TIM,toxic industrial material
TIO,target intelligence officer
TIP, trafficking in persons,target intelligence package
TIR,toxic industrial radiological
TJAG,the judge advocate general
TLA,theater logistics analysis
TLAM,Tomahawk land-attack missile
TLAMM,theater lead agent for medical materiel
TLE,target location error
TLM,target list management, topographic line map
TLO,theater logistics overview
TM, technical manual,target materials
TMAO,theater mortuary affairs office, theater mortuary affairs officer
TMD,theater missile defense
TMEP,theater mortuary evacuation point
TMIP,theater medical information program
TMM,"transregional, multi-domain, and multifunctional"
TMO,target mensuration only, traffic management office, transportation management office
TMT,time-phased force and deployment data management tool
TNCC,theater network operations control center
TNL,target nomination list
TO, theater of operations,technical order
TO&E,table of organization and equipment
TOA, transfer of authority,table of allowance
TOC,tactical operations center, transnational organized crime
TOD,tactical ocean data
TOI,track of interest
TOPINT,technical operational intelligence
TOR,term of reference
TOS,time on station
TOT,time on target
TP,transportation priority
TPE,theater provided equipment
TPED,"tasking, processing, exploitation, and dissemination", theater personal effects depot
TPFDD,time-phased force and deployment data
TPFDL,time-phased force and deployment list
TPMRC,United States Transportation Command patient movement requirements center
TPP,theater posture plan
TPS,transportation protective service
TPT,tactical petroleum terminal
TQ,tactical questioning
TRA,technical review authority
TRAC2ES,United States Transportation Command Regulating and Command and Control Evacuation System
TRADOC,United States Army Training and Doctrine CommandTrans BDEtransportation brigadeTrans Det RPOtransportation detachment rapid port opening
TRANSEC,transmission security
TRAP,tactical recovery of aircraft and personnel (USMC), tactical related applications
TRIADS,Tri-Wall Aerial Distribution System
TRICON,triple container
TRO,training and readiness oversight
TROPO,tropospheric scatter
TRP,target reference point
TS, top secret,time-sensitive
TSA,target system analysis, Transportation Security Administration (DHS)
TSC,theater security cooperation, theater support command, theater sustainment command (USA)
TSCIF,temporary sensitive compartmented information facility
TSCM,technical surveillance countermeasures
TSCP,theater security cooperation plan
TSM,target sorting message
TSOC, theater special operations command,tactical special operations command
TSS,target sensing system
TSSA,transitional security sector assistance
TST,terminal support team, time-sensitive target
TSWA,temporary secure working area
TT&C,"telemetry, tracking, and commanding"
TTAB,Technical Training Acceptance Board
TTAN,transportation tracking account number
TTD,tactical terrain data
TTL,"tagging, tracking, and locating"
TTN,transportation tracking number
TTP,"tactics, techniques, and procedures", trailer transfer point
TTT,time to target
TTU,transportation terminal unit
TU,task unit
TUCHA,type unit characteristics file
TV,television
TW&A,threat warning and assessment
TWCF,Transportation Working Capital Fund
TWDS,tactical water distribution system
TYCOM,type commander
U-233,uranium-233
U-235,uranium-235
UA,unmanned aircraft
UAR,unconventional assisted recovery
UARCC,unconventional assisted recovery coordination cell
UAS,unmanned aircraft system
UAV,unmanned aerial vehicle
UCMJ,Uniform Code of Military Justice
UCP,Unified Command Plan
UCT,underwater construction team
UDL,unit deployment list
UEWR,upgraded early warning radar
UFAC,Underground Facilities Analysis Center
UFC,Unified Facilities Criteria
UFO,ultrahigh frequency follow-on
UGA,ungoverned area
UGIRH,Urban Generic Information Requirements Handbook
UGO,unified geospatial-intelligence operations
UH,utility helicopter
UHF,ultrahigh frequency
UIC,unit identification code
UJTL,Universal Joint Task List
UK,United Kingdom
ULN,unit line number
ULSD,ultra-low sulfur diesel
UMCC,unit movement control center
UMCM,underwater mine countermeasures
UMD,unit movement data
UMMIPS,Uniform Material Movement and Issue Priority System
UMO,unit movement officer
UMS,unmanned system
UN,United Nations
UNCLOS,United Nations Convention on the Law of the SeaUN CMCoordUnited Nations humanitarian civil-military coordination
UNCT,United Nations country team
UND,urgency of need designator
UNDAC,United Nations Disaster Assessment and Coordination
UNDFS,United Nations Department of Field Support
UNDP,United Nations Development Programme
UNDPKO,United Nations Department of Peacekeeping Operations
UNEP,United Nations Environment Programme
UNHAS,United Nations Humanitarian Air Service
UNHCHR,United Nations High Commissioner for Human Rights
UNHCR,United Nations High Commissioner for Refugees
UNHQ,United Nations Headquarters
UNICEF,United Nations Children’s Fund
UNITAF,unified task force
UNMEM,United Nations military expert on mission
UNO,unit number
UNOCHA,United Nations Office for the Coordination of Humanitarian Affairs
UNODC,United Nations Office on Drugs and Crime
UNOSOM,United Nations Operations in Somalia
UNPA,United Nations Participation Act
UNPROFOR,United Nations protection force
UNSC,United Nations Security Council
UNSCR,United Nations Security Council resolution
UNSG,United Nations Secretary-General
UON,urgent operational need
URL,uniform resource locater
URN,unit reference number
US&R,urban search and rescue
USA,United States Army
USACE,United States Army Corps of Engineers
USACFSC,United States Army Community and Family Support Center
USACHPPM,United States Army Center for Health Promotion and Preventive Medicine
USACIDC,United States Army Criminal Investigation Command
USAEDS,United States Atomic Energy Detection System
USAF,United States Air Force
USAFE,United States Air Forces in Europe
USAFR,United States Air Force Reserve
USAFRICOM,United States Africa Command
USAFSOS,United States Air Force Special Operations School
USAID,United States Agency for International Development
USAMC,United States Army Materiel Command
USAMMA,United States Army Medical Materiel Agency
USAMRICD,United States Army Medical Research Institute of Chemical Defense
USAMRIID,United States Army Medical Research Institute of Infectious Diseases
USAMRMC,United States Army Medical Research and Materiel Command
USANCA,United States Army Nuclear and Countering Weapons of Mass Destruction Agency
USAPHC,United States Army Public Health Center
USAR,United States Army Reserve
USARCENT,"United States Army, Central Command"
USARDECOM,"United States Army Research, Development, andEngineering Command"
USAREUR,"United States Army, European Command"
USARNORTH,"United States Army, North"
USARPAC,"United States Army, Pacific Command"
USARSO,"United States Army, Southern Command"
USASMDC/ARSTRAT,United States Army Space and Missile Defense Command/Army Forces Strategic Command
USASOC,United States Army Special Operations CommandUS BICESUnited States Battlefield Information Collection and Exploitation SystemUS BICES-XUnited States Battlefield Information Collection and Exploitation System Extended
USC,United States Code, universal service contract
USCENTCOM,United States Central Command
USCG,United States Coast Guard
USCGR,United States Coast Guard Reserve
USCIS,United States Citizenship and Immigration Services
USCS,United States Cryptologic System
USCYBERCOM,United States Cyber Command
USD(A&S),Under Secretary of Defense for Acquisition and Sustainment
USD(C),Under Secretary of Defense (Comptroller)
USD(I),Under Secretary of Defense for Intelligence
USD(P&R),Under Secretary of Defense for Personnel and Readiness
USD(P),Under Secretary of Defense for Policy
USDA,United States Department of Agriculture
USDAO,United States defense attaché office
USELEMNORAD,"United States Element, North American Aerospace Defense Command"
USERID,user identification
USERRA,Uniformed Services Employment and Reemployment Rights Act
USEUCOM,United States European Command
USFF,United States Fleet Forces Command
USFK,"United States Forces, Korea"
USG, United States Government,Under-Secretary-General
USGS,United States Geological Survey
USINDOPACOM,United States Indo-Pacific Command
USIP,United States Institute of Peace
USLO,United States liaison office
USMC,United States Marine Corps
USMCR,United States Marine Corps Reserve
USMILGP,United States military group
USML,United States Munitions List
USMOG,United States Military Observer Group
USMOG-W,United States Military Observer Group - Washington
USMS,United States Marshals Service
USMTF,United States message text format
USN,United States Navy
USNAVSO,US Naval Forces Southern Command
USNMR,United States national military representative
USNO,United States Naval Observatory
USNORTHCOM,United States Northern Command
USNR,United States Navy Reserve
USNS,United States Naval Ship
USPHS,United States Public Health Service (DHHS)
USPS,United States Postal Service
USSOCOM,United States Special Operations Command
USSOUTHCOM,United States Southern Command
USSPACECOM,United States Space Command
USSS,United States Secret Service (DHS)
USSTRATCOM,United States Strategic Command
USTRANSCOM,United States Transportation Command
USUN,United States Mission to the United Nations
USW,undersea warfare
UTC, unit type code,Coordinated Universal Time
UTM,universal transverse mercator
UTO,unit table of organization
UUV,unmanned underwater vehicle, unmanned underwater vessel
UW,unconventional warfare
UXO, unexploded ordnance,unexploded explosive ordnance
VA,Department of Veterans Affairs, victim advocate, vulnerability assessment
VAAP,vulnerability assessment and assistance program
VBIED,vehicle-borne improvised explosive device
VBSS,"visit, board, search, and seizure"
VCJCS,Vice Chairman of the Joint Chiefs of Staff
VDL,video downlink
VE,vertical error, violent extremism
VEE,Venezuelan equine encephalitis
VEO,violent extremist organization
VFR,visual flight rules
VFS,validating flight surgeon
VHF,very high frequency
VI,visual information
VID,visual identification
VIP,very important person
VIPPSA,very important personnel protection support activity
VIRIN,visual information record identification number
VIRS,verbally initiated release system
VISA,Voluntary Intermodal Sealift AgreementVISION IDvisual information professional identifier
VLF,very low frequency
VMAQ,Marine tactical electronic warfare squadron
VMD,volume median diameter
VMF,variable message format
VMI,vendor managed inventory
VMap,vector map
VOD,vertical onboard delivery
VPV,virtual prime vendor
VSW,very shallow water
VTA,voluntary tanker agreement
VTC,video teleconferencing
VTOL,vertical takeoff and landing
VTOL-UAS,vertical takeoff and landing unmanned aircraft system
WADS,Western Air Defense Sector
WAI,weather area of interest
WAN,wide-area network
WANGO,World Association of Non-Governmental Organizations
WARMs,wartime reserve modes
WARNORD,warning order
WARP,web-based access and retrieval portal
WAS,wide area surveillance
WASP,war air service program
WB,wideband
WBGTI,wet bulb globe temperature index
WBIED,waterborne improvised explosive device
WCE,weapons of mass destruction coordination element
WCO,World Customs Organization
WCS,weapons control status
WDCO,well deck control officerWeb SMWeb Scheduling and Movement
WEBVLIPS,Web Visual Logistics Information Processing System
WETM,weather team
WEU,Western European Union
WEZ,weapon engagement zone
WFP,World Food Programme (UN)
WG,working group
WGS,Wideband Global Satellite CommunicationsWGS 84World Geodetic System 1984
WHNS,wartime host-nation support
WHO,World Health Organization (UN)
WIA,wounded in action
WIF,Wales Initiative Fund
WIT,weapons intelligence team
WLG,Washington Liaison Group
WMD,weapons of mass destruction
WMD-CST,weapons of mass destruction-civil support team
WMO,World Meteorological Organization
WMP,Air Force War and Mobilization Plan
WOC,wing operations center (USAF)
WOD,wind-over deck
WOT,war on terrorism
WP,white phosphorous, working party
WPB,Coast Guard patrol boat
WPR,War Powers Resolution
WRA,Office of Weapons Removal and Abatement (DOS), weapons release authority
WRAIR,Walter Reed Army Institute of Research
WRM,war reserve materiel
WRS,war reserve stock
WRSA,war reserve stocks for allies
WS,weather squadron
WSESRB,Weapon System Explosive Safety Review Board
WSM,waterspace management
WSR,weapon system reliability
WSV,weapons system video
WT,warping tug
WTI,weapons technical intelligence
WWII,World War II
WWX,worldwide express
WX,weather
XCDS,extracted container delivery system
XCVR,transceiver
XMPP,extensible messaging and presence protocol
XO,executive officer
YR,year
ZF,zone of fire
ZULU,time zone indicator for Universal Time
amu,atomic mass unit
bbl,barrel (42 US gallons)
cm,centimeter(s)
eGPL,Enhanced Geospatial Product Library (USAF)
eJMAPS,electronic Joint Manpower and Personnel System
environment,MIPRmilitary interdepartmental purchase request
ft,feet, foot
ft3,cubic feet
k,thousand
kW,kilowatt
kbps,kilobits per second
kg,kilogram(s)
km,kilometer
kph,kilometers per hourKQ IDtactical location identifier
kt,kiloton(s), knot (nautical miles per hour)
lb,pound
lbs.,pounds
mph,miles per hour
mtDNA,mitochondrial deoxyribonucleic acid
m³,cubic meter(s)
nm,nautical mile
non-CAAF,contractors not authorized to accompany the force
prowords,procedure words
psi,pounds per square inch
